nome,tipo_produto,sku,preco_brl,categoria,material_base,material_opcoes,tamanhos,imagem_principal,galeria_imagens
Anel Coral,anel,GBBnSMFAVs5h2Rik,650,Metal Power,Prata 925,PRATA950|BANHADOOURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,https://giovanadiasjewelry.com.br/sc-bridge/images/281513/img_681e9afa556d6.png,https://giovanadiasjewelry.com.br/sc-bridge/images/281525/jfif|https://giovanadiasjewelry.com.br/sc-bridge/images/282152/jfif
Argolas Originais,argolas,HusKIYjXVc95pzwe,400,Metal Power,Prata 925,PRATA950|BANHADOOURO,,https://giovanadiasjewelry.com.br/sc-bridge/images/281508/img_681e96202de46.png,
Anel Quadrado Cratera Lunar,anel,7knb38UGoqUYLdca,650,Metal Power,Prata 925,PRATA950|BANHADOOURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,https://giovanadiasjewelry.com.br/sc-bridge/images/281497/img_6834684e086df.png,https://giovanadiasjewelry.com.br/sc-bridge/images/282140/img_683469d3ab354.png|https://giovanadiasjewelry.com.br/sc-bridge/images/282141/img_683469d3acf36.png
Anel Quadrado Abstrato Perfeito,anel,REQ0AYIjWOOXbJe6,800,Metal Power,Prata 925,PRATA950|BANHADOOURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,https://giovanadiasjewelry.com.br/sc-bridge/images/281498/img_681e9c9d87d4b.png,https://giovanadiasjewelry.com.br/sc-bridge/images/281515/jfif|https://giovanadiasjewelry.com.br/sc-bridge/images/282144/jfif
Aliança Abstrata,alianca,FoNF3ua0RJFcN3Bh,500,Metal Power,Prata 925,PRATA950|BANHADOOURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,https://giovanadiasjewelry.com.br/sc-bridge/images/281499/img_681eb2d644b13.png,https://giovanadiasjewelry.com.br/sc-bridge/images/281516/jfif|https://giovanadiasjewelry.com.br/sc-bridge/images/282145/jfif
Anel Medieval Age,anel,IwbmE6KwfjBx2Wb0,550,Metal Power,Prata 925,PRATA950|BANHADOOURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,https://giovanadiasjewelry.com.br/sc-bridge/images/281500/img_681e8fb16c80e.png,https://giovanadiasjewelry.com.br/sc-bridge/images/281517/jfif|https://giovanadiasjewelry.com.br/sc-bridge/images/282146/jfif
Aliança Orgânica,alianca,ExN4JLoUj7sVDID0,400,Metal Power,Prata 925,PRATA950|BANHADOOURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,https://giovanadiasjewelry.com.br/sc-bridge/images/281502/img_681e91e22d28a.png,https://giovanadiasjewelry.com.br/sc-bridge/images/281518/jfif
Bone ring,anel,NQ5JAGBP4VLo2VfD,450,Metal Power,Prata 925,PRATA950|BANHADOOURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,https://giovanadiasjewelry.com.br/sc-bridge/images/281503/img_681e92c33273e.png,https://giovanadiasjewelry.com.br/sc-bridge/images/281519/jfif
O Anel de Falange Perfeito,anel,BzFIv5VNdYIatRSm,350,Metal Power,Prata 925,PRATA950|BANHADOOURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,https://giovanadiasjewelry.com.br/sc-bridge/images/281504/img_681e938c1ac4d.png,https://giovanadiasjewelry.com.br/sc-bridge/images/281520/jfif|https://giovanadiasjewelry.com.br/sc-bridge/images/282147/jfif
Anel Cyber Culture,anel,cbb3bPxsFv31vysx,750,Metal Power,Prata 925,PRATA950|BANHADOOURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,https://giovanadiasjewelry.com.br/sc-bridge/images/281506/img_681e94f9374eb.png,https://giovanadiasjewelry.com.br/sc-bridge/images/281521/jfif|https://giovanadiasjewelry.com.br/sc-bridge/images/282148/jfif
O Anel,anel,KRXnDU5mN5J486fr,750,Metal Power,Prata 925,PRATA950|BANHADOOURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,https://giovanadiasjewelry.com.br/sc-bridge/images/281510/img_681e9702641ba.png,https://giovanadiasjewelry.com.br/sc-bridge/images/281522/jfif|https://giovanadiasjewelry.com.br/sc-bridge/images/282149/jfif
Anel Tentáculo Metal Power,anel,A5EVeTmf1BXiGUzs,1200,Metal Power,Prata 925,PRATA950|BANHADOOURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,https://giovanadiasjewelry.com.br/sc-bridge/images/281511/img_681e991f95e52.png,https://giovanadiasjewelry.com.br/sc-bridge/images/281512/img_681e99ddaa988.png|https://giovanadiasjewelry.com.br/sc-bridge/images/281523/jfif|https://giovanadiasjewelry.com.br/sc-bridge/images/282150/jfif
Anel Neandertal,anel,xQzMxmQZgWB07Vx,1200,Metal Power,Prata 925,PRATA950|BANHADOOURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,https://giovanadiasjewelry.com.br/sc-bridge/images/281512/img_681e99ddaa988.png,https://giovanadiasjewelry.com.br/sc-bridge/images/281524/jfif|https://giovanadiasjewelry.com.br/sc-bridge/images/282151/jfif
Colar Amuleto Dente de Crocodilo,colar,XSzj8EnzhfhgOjPk,950,Tribal,Prata 925,,,https://giovanadiasjewelry.com.br/sc-bridge/images/281527/img_681eab02cd27c.png,
Choker Amuleto Dente de Javali,choker,zRUsI6bERs8CfzGE,950,Tribal,Prata 925,,,https://giovanadiasjewelry.com.br/sc-bridge/images/281526/img_681ea908c1aac.png,
